# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,morning_base_score,morning_base_band,midday_base_score,midday_base_band,dinner_base_score,dinner_base_band,late_base_score,late_base_band
Midtown,Fine Dining,Sat,0.0,Minimal,17.6,Minimal,65.0,High,11.8,Minimal
Midtown,Fine Dining,Sun,0.0,Minimal,2.5,Minimal,7.8,Minimal,0.4,Minimal
Midtown,Upscale Casual,Mon,0.7,Minimal,5.9,Minimal,8.8,Minimal,0.7,Minimal
Midtown,Upscale Casual,Tue,1.0,Minimal,9.4,Minimal,14.0,Minimal,1.0,Minimal
Midtown,Upscale Casual,Wed,1.6,Minimal,13.8,Minimal,21.9,Light,2.1,Minimal
Midtown,Upscale Casual,Thu,2.4,Minimal,19.5,Minimal,32.5,Light,4.2,Minimal
Midtown,Upscale Casual,Fri,3.2,Minimal,20.2,Light,42.9,Moderate,8.3,Minimal
Midtown,Upscale Casual,Sat,5.7,Minimal,30.4,Light,41.3,Moderate,7.1,Minimal
Midtown,Upscale Casual,Sun,2.1,Minimal,12.9,Minimal,16.3,Minimal,0.9,Minimal
Midtown,Casual Dining,Mon,1.9,Minimal,13.1,Minimal,13.8,Minimal,1.2,Minimal
Midtown,Casual Dining,Tue,2.2,Minimal,15.2,Minimal,16.0,Minimal,1.4,Minimal
Midtown,Casual Dining,Wed,2.8,Minimal,18.0,Minimal,20.4,Light,2.0,Minimal
Midtown,Casual Dining,Thu,3.6,Minimal,21.7,Light,26.1,Light,3.2,Minimal
Midtown,Casual Dining,Fri,4.5,Minimal,24.1,Light,32.8,Light,5.6,Minimal
Midtown,Casual Dining,Sat,4.8,Minimal,29.7,Light,32.5,Light,5.1,Minimal
Midtown,Casual Dining,Sun,2.9,Minimal,20.7,Light,20.6,Light,1.3,Minimal
Midtown,Fast Casual,Mon,6.1,Minimal,36.2,Light,11.4,Minimal,0.0,Minimal
Midtown,Fast Casual,Tue,6.9,Minimal,41.0,Moderate,12.9,Minimal,0.0,Minimal
Midtown,Fast Casual,Wed,7.7,Minimal,45.3,Moderate,14.3,Minimal,0.0,Minimal
Midtown,Fast Casual,Thu,7.7,Minimal,42.5,Moderate,16.8,Minimal,0.0,Minimal
Midtown,Fast Casual,Fri,7.4,Minimal,41.0,Moderate,16.2,Minimal,0.0,Minimal
Midtown,Fast Casual,Sat,4.4,Minimal,28.8,Light,14.7,Minimal,0.0,Minimal
Midtown,Fast Casual,Sun,2.6,Minimal,16.9,Minimal,8.6,Minimal,0.0,Minimal
Midtown,Coffee Shop,Mon,25.5,Light,20.7,Light,3.1,Minimal,0.0,Minimal
Midtown,Coffee Shop,Tue,28.0,Light,22.6,Light,3.4,Minimal,0.0,Minimal
Midtown,Coffee Shop,Wed,30.9,Light,25.0,Light,3.7,Minimal,0.0,Minimal
Midtown,Coffee Shop,Thu,29.6,Light,24.8,Light,5.0,Minimal,0.0,Minimal
Midtown,Coffee Shop,Fri,26.9,Light,23.8,Light,6.5,Minimal,0.0,Minimal
Midtown,Coffee Shop,Sat,18.2,Minimal,21.6,Light,5.5,Minimal,0.0,Minimal
Midtown,Coffee Shop,Sun,10.3,Minimal,14.0,Minimal,3.3,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Mon,11.4,Minimal,12.8,Minimal,0.5,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Tue,11.8,Minimal,13.1,Minimal,0.5,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Wed,13.3,Minimal,14.8,Minimal,0.6,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Thu,15.9,Minimal,19.2,Minimal,1.5,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Fri,19.4,Minimal,26.6,Light,3.0,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Sat,27.2,Light,59.3,Moderate,3.5,Minimal,0.0,Minimal
Midtown,Breakfast / Brunch Cafe,Sun,22.4,Light,56.7,Moderate,2.3,Minimal,0.0,Minimal
Midtown,Sports Bar,Mon,0.0,Minimal,9.2,Minimal,16.2,Minimal,4.2,Minimal
Midtown,Sports Bar,Tue,0.0,Minimal,9.2,Minimal,15.6,Minimal,3.9,Minimal
Midtown,Sports Bar,Wed,0.0,Minimal,10.6,Minimal,18.0,Minimal,4.5,Minimal
Midtown,Sports Bar,Thu,0.0,Minimal,11.9,Minimal,23.9,Light,7.0,Minimal
Midtown,Sports Bar,Fri,0.0,Minimal,16.4,Minimal,25.7,Light,17.6,Minimal
Midtown,Sports Bar,Sat,0.0,Minimal,22.7,Light,27.8,Light,17.7,Minimal
Midtown,Sports Bar,Sun,0.0,Minimal,16.1,Minimal,24.5,Light,6.3,Minimal
Midtown,Cocktail Lounge,Mon,0.0,Minimal,0.3,Minimal,2.4,Minimal,1.5,Minimal
Midtown,Cocktail Lounge,Tue,0.0,Minimal,0.6,Minimal,4.3,Minimal,2.8,Minimal
Midtown,Cocktail Lounge,Wed,0.0,Minimal,1.3,Minimal,10.3,Minimal,6.7,Minimal
Midtown,Cocktail Lounge,Thu,0.0,Minimal,3.8,Minimal,27.0,Light,20.0,Light
Midtown,Cocktail Lounge,Fri,0.0,Minimal,3.7,Minimal,39.4,Light,36.0,Light
Midtown,Cocktail Lounge,Sat,0.0,Minimal,3.7,Minimal,39.6,Light,36.2,Light
Midtown,Cocktail Lounge,Sun,0.0,Minimal,0.9,Minimal,7.2,Minimal,4.7,Minimal
Corktown,Fine Dining,Mon,0.0,Minimal,1.3,Minimal,7.0,Minimal,0.6,Minimal
Corktown,Fine Dining,Tue,0.0,Minimal,3.0,Minimal,14.6,Minimal,1.3,Minimal
Corktown,Fine Dining,Wed,0.0,Minimal,6.0,Minimal,29.3,Light,2.7,Minimal
Corktown,Fine Dining,Thu,0.0,Minimal,11.3,Minimal,58.9,Moderate,8.3,Minimal
Corktown,Fine Dining,Fri,0.0,Minimal,12.0,Minimal,80.2,High,19.7,Minimal
Corktown,Fine Dining,Sat,0.0,Minimal,13.4,Minimal,89.5,Peak,22.0,Light
Corktown,Fine Dining,Sun,0.0,Minimal,2.0,Minimal,11.4,Minimal,0.7,Minimal
Corktown,Upscale Casual,Mon,0.4,Minimal,3.9,Minimal,10.5,Minimal,1.0,Minimal
Corktown,Upscale Casual,Tue,0.7,Minimal,6.3,Minimal,16.9,Minimal,1.7,Minimal
Corktown,Upscale Casual,Wed,1.1,Minimal,9.6,Minimal,27.5,Light,3.5,Minimal
Corktown,Upscale Casual,Thu,1.8,Minimal,14.3,Minimal,43.2,Moderate,7.5,Minimal
Corktown,Upscale Casual,Fri,2.4,Minimal,15.6,Minimal,59.8,Moderate,15.7,Minimal
Corktown,Upscale Casual,Sat,4.4,Minimal,23.9,Light,58.8,Moderate,13.7,Minimal
Corktown,Upscale Casual,Sun,1.7,Minimal,10.8,Minimal,24.8,Light,1.9,Minimal
Corktown,Casual Dining,Mon,1.2,Minimal,8.4,Minimal,16.0,Minimal,1.9,Minimal
Corktown,Casual Dining,Tue,1.4,Minimal,9.9,Minimal,18.8,Minimal,2.2,Minimal
