# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,daypart,window,base_score,base_band
Woodward Core,Fast Casual,Thu,morning,06:00-11:00,10.7,Minimal
Woodward Core,Fast Casual,Thu,midday,11:00-16:00,63.4,Moderate
Woodward Core,Fast Casual,Thu,dinner,16:00-21:00,26.6,Light
Woodward Core,Fast Casual,Thu,late,21:00-02:00,0.0,Minimal
Woodward Core,Fast Casual,Fri,morning,06:00-11:00,10.7,Minimal
Woodward Core,Fast Casual,Fri,midday,11:00-16:00,63.6,Moderate
Woodward Core,Fast Casual,Fri,dinner,16:00-21:00,26.6,Light
Woodward Core,Fast Casual,Fri,late,21:00-02:00,0.0,Minimal
Woodward Core,Fast Casual,Sat,morning,06:00-11:00,5.7,Minimal
Woodward Core,Fast Casual,Sat,midday,11:00-16:00,40.4,Moderate
Woodward Core,Fast Casual,Sat,dinner,16:00-21:00,21.8,Light
Woodward Core,Fast Casual,Sat,late,21:00-02:00,0.0,Minimal
Woodward Core,Fast Casual,Sun,morning,06:00-11:00,3.4,Minimal
Woodward Core,Fast Casual,Sun,midday,11:00-16:00,23.7,Light
Woodward Core,Fast Casual,Sun,dinner,16:00-21:00,12.8,Minimal
Woodward Core,Fast Casual,Sun,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Mon,morning,06:00-11:00,34.9,Light
Woodward Core,Coffee Shop,Mon,midday,11:00-16:00,30.4,Light
Woodward Core,Coffee Shop,Mon,dinner,16:00-21:00,4.8,Minimal
Woodward Core,Coffee Shop,Mon,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Tue,morning,06:00-11:00,38.8,Light
Woodward Core,Coffee Shop,Tue,midday,11:00-16:00,33.8,Light
Woodward Core,Coffee Shop,Tue,dinner,16:00-21:00,5.4,Minimal
Woodward Core,Coffee Shop,Tue,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Wed,morning,06:00-11:00,42.2,Moderate
Woodward Core,Coffee Shop,Wed,midday,11:00-16:00,36.8,Light
Woodward Core,Coffee Shop,Wed,dinner,16:00-21:00,5.8,Minimal
Woodward Core,Coffee Shop,Wed,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Thu,morning,06:00-11:00,41.0,Moderate
Woodward Core,Coffee Shop,Thu,midday,11:00-16:00,37.0,Light
Woodward Core,Coffee Shop,Thu,dinner,16:00-21:00,7.8,Minimal
Woodward Core,Coffee Shop,Thu,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Fri,morning,06:00-11:00,38.6,Light
Woodward Core,Coffee Shop,Fri,midday,11:00-16:00,36.7,Light
Woodward Core,Coffee Shop,Fri,dinner,16:00-21:00,10.7,Minimal
Woodward Core,Coffee Shop,Fri,late,21:00-02:00,0.0,Minimal
Woodward Core,Coffee Shop,Sat,morning,06:00-11:00,23.7,Light
Woodward Core,Coffee Shop,Sat,midday,11:00-16:00,30.4,Light
